REF_AREA;Coğrafi Kapsam;FREQ;Gözlem Sıklığı;INDICATOR;İstatistiksel Gösterge;AY;Ay (DESC);YAKIT_TUR;Yakıt Türü;UNIT_MEASURE;Ölçü Birimi;Zaman (TIME_PERIOD);Gözlem;DONUSUM;Zaman Serisi Dönüşümü;ZAMAN_BICIMI;Zaman Formatı;UNIT_MULT;Birim Çarpanı;CONF_STATUS;Gizlilik Durumu;GOZLEM_DURUMU;Gözlem Durumu;ONDALIK;Ondalık Basamak Sayısı
TR;Türkiye;M;Aylık;U_MKTS;Motorlu Kara Taşıtları Sayısı;M01;Ocak;2;Dizel;PN;Sayı;2016-01;3393284;;;;;;;;;;;;
TR;Türkiye;M;Aylık;U_MKTS;Motorlu Kara Taşıtları Sayısı;M01;Ocak;2;Dizel;PN;Sayı;2015-01;2942000;;;;;;;;;;;;
TR;Türkiye;M;Aylık;U_MKTS;Motorlu Kara Taşıtları Sayısı;M01;Ocak;2;Dizel;PN;Sayı;2014-01;2550697;;;;;;;;;;;;
TR;Türkiye;M;Aylık;U_MKTS;Motorlu Kara Taşıtları Sayısı;M01;Ocak;2;Dizel;PN;Sayı;2013-01;2146774;;;;;;;;;;;;
TR;Türkiye;M;Aylık;U_MKTS;Motorlu Kara Taşıtları Sayısı;M01;Ocak;2;Dizel;PN;Sayı;2012-01;1805234;;;;;;;;;;;;
TR;Türkiye;M;Aylık;U_MKTS;Motorlu Kara Taşıtları Sayısı;M01;Ocak;2;Dizel;PN;Sayı;2011-01;1436023;;;;;;;;;;;;
TR;Türkiye;M;Aylık;U_MKTS;Motorlu Kara Taşıtları Sayısı;M01;Ocak;2;Dizel;PN;Sayı;2010-01;1135121;;;;;;;;;;;;
TR;Türkiye;M;Aylık;U_MKTS;Motorlu Kara Taşıtları Sayısı;M01;Ocak;2;Dizel;PN;Sayı;2009-01;963184;;;;;;;;;;;;
TR;Türkiye;M;Aylık;U_MKTS;Motorlu Kara Taşıtları Sayısı;M01;Ocak;2;Dizel;PN;Sayı;2008-01;794241;;;;;;;;;;;;
TR;Türkiye;M;Aylık;U_MKTS;Motorlu Kara Taşıtları Sayısı;M01;Ocak;2;Dizel;PN;Sayı;2007-01;602078;;;;;;;;;;;;
TR;Türkiye;M;Aylık;U_MKTS;Motorlu Kara Taşıtları Sayısı;M01;Ocak;2;Dizel;PN;Sayı;2006-01;423211;;;;;;;;;;;;
TR;Türkiye;M;Aylık;U_MKTS;Motorlu Kara Taşıtları Sayısı;M01;Ocak;2;Dizel;PN;Sayı;2005-01;259419;;;;;;;;;;;;
TR;Türkiye;M;Aylık;U_MKTS;Motorlu Kara Taşıtları Sayısı;M01;Ocak;6;LPG;PT;Yüzde;2026-01;29.99;;;;;;;;;;;;
TR;Türkiye;M;Aylık;U_MKTS;Motorlu Kara Taşıtları Sayısı;M01;Ocak;6;LPG;PT;Yüzde;2025-01;31.69;;;;;;;;;;;;
TR;Türkiye;M;Aylık;U_MKTS;Motorlu Kara Taşıtları Sayısı;M01;Ocak;6;LPG;PT;Yüzde;2024-01;33.27;;;;;;;;;;;;
TR;Türkiye;M;Aylık;U_MKTS;Motorlu Kara Taşıtları Sayısı;M01;Ocak;6;LPG;PT;Yüzde;2023-01;34.92;;;;;;;;;;;;
TR;Türkiye;M;Aylık;U_MKTS;Motorlu Kara Taşıtları Sayısı;M01;Ocak;6;LPG;PT;Yüzde;2022-01;35.84;;;;;;;;;;;;
TR;Türkiye;M;Aylık;U_MKTS;Motorlu Kara Taşıtları Sayısı;M01;Ocak;6;LPG;PT;Yüzde;2021-01;36.59;;;;;;;;;;;;
TR;Türkiye;M;Aylık;U_MKTS;Motorlu Kara Taşıtları Sayısı;M01;Ocak;6;LPG;PT;Yüzde;2020-01;37.22;;;;;;;;;;;;
TR;Türkiye;M;Aylık;U_MKTS;Motorlu Kara Taşıtları Sayısı;M01;Ocak;6;LPG;PT;Yüzde;2019-01;37.82;;;;;;;;;;;;
TR;Türkiye;M;Aylık;U_MKTS;Motorlu Kara Taşıtları Sayısı;M01;Ocak;6;LPG;PT;Yüzde;2018-01;38.25;;;;;;;;;;;;
TR;Türkiye;M;Aylık;U_MKTS;Motorlu Kara Taşıtları Sayısı;M01;Ocak;6;LPG;PT;Yüzde;2017-01;39.08;;;;;;;;;;;;
TR;Türkiye;M;Aylık;U_MKTS;Motorlu Kara Taşıtları Sayısı;M01;Ocak;6;LPG;PT;Yüzde;2016-01;40.19;;;;;;;;;;;;
TR;Türkiye;M;Aylık;U_MKTS;Motorlu Kara Taşıtları Sayısı;M01;Ocak;6;LPG;PT;Yüzde;2015-01;41.16;;;;;;;;;;;;
